-5,9025
1455,1025
2797,275
3440,28
2910,8
1433,5825
-75,1125
-1235,2175
-1787,555
-1825,77
-672,6675
784,665
2224,3425
3239,115
3586,4525
2717,8525
1505,375
-25,7675
-1225,315
-1735,145
-1736,05
-427,545
1246,3425
2513,335
3517,65
3652,6
3151,0925
2028,5725
727,265
-542,125
-1392,865
-1585,0475
-1739,8575
-1672,6125
-1770,4875
-1697,26
-1800,3725
-1727,4625
-1786,18
-1656,02
-606,7475
1201,2825
2636,2375
3753,85
4200,3075
3291,3225
1880,715
488,1475
-792,265
-1396,57
-1792,4275
-1895,7225
-2065,965
-2104,7775
-2193,0575
-2235,27
-2249,78
-2330,4325
-2196,885
-1497,52
-171,6925
1145,3
2720,205
3790,1275
4378,19
4070,1325
3132,8625
1966,9525
791,1875
-633,9925
-1360,7675
-1767,6425
-1175,495
956,9375
1573,975
-558,06
-1429,41
488,3975
2219,9225
695,7975
-1337,5875
-669,7425
1502,5325
1119,31
-1123,7725
-2143,0925
-2486,285
-2565,5025
-2670,0225
-2606,605
-2364,5
-842,2475
928,62
2579,5475
3032,8275
1540,935
-423,0575
-1635,3575
-2335,9475
-2495,86
-2159,0775
-857,995
517,2975
1044,75
-371,8325
-1650,6675
-2322,14
-2534,6625
-2673,8075
-2641,0225
-2348,0025
-773,3525
805,78
2068,485
1664,63
211,7225
-1474,44
-2148,0875
-2517,7325
-2481,5225
-1775
-77,585
1408,07
618,99
338,7675
32,525
243,5575
-340,75
-530,2275
68,4475
2426,115
4165,3725
5423,1475
5720,77
4186,9025
2480,4275
641,9975
-824,9775
-1726,205
-2150,6025
-2373,575
-2547,0675
-2395,585
-1209,015
703,5875
2076,1775
1871,285
-137,295
-1535,9125
-2241,8875
-2486,1825
-2632,71
-2244,03
-1583,69









































































































































